🗣️ Available Edge TTS Voices:
  - id-ID-ArdiNeural: Male, id-ID
  - id-ID-GadisNeural: Female, id-ID
  - is-IS-GudrunNeural: Female, is-IS
  - is-IS-GunnarNeural: Male, is-IS
  - it-IT-AlessioMultilingualNeural: Male, it-IT
  - it-IT-BenignoNeural: Male, it-IT
  - it-IT-CalimeroNeural: Male, it-IT
  - it-IT-CataldoNeural: Male, it-IT
  - it-IT-DiegoNeural: Male, it-IT
  - it-IT-ElsaNeural: Female, it-IT
  - it-IT-FabiolaNeural: Female, it-IT
  - it-IT-FiammaNeural: Female, it-IT
  - it-IT-GianniNeural: Male, it-IT
  - it-IT-GiuseppeMultilingualNeural: Male, it-IT
  - it-IT-GiuseppeNeural: Male, it-IT
  - it-IT-ImeldaNeural: Female, it-IT
  - it-IT-IrmaNeural: Female, it-IT
  - it-IT-IsabellaMultilingualNeural: Female, it-IT
  - it-IT-IsabellaNeural: Female, it-IT
  - it-IT-LisandroNeural: Male, it-IT
  - it-IT-MarcelloMultilingualNeural: Male, it-IT
  - it-IT-PalmiraNeural: Female, it-IT
  - it-IT-PierinaNeural: Female, it-IT
  - it-IT-RinaldoNeural: Male, it-IT
  - iu-Cans-CA-SiqiniqNeural: Female, iu-Cans-CA
  - iu-Cans-CA-TaqqiqNeural: Male, iu-Cans-CA
  - iu-Latn-CA-SiqiniqNeural: Female, iu-Latn-CA
  - iu-Latn-CA-TaqqiqNeural: Male, iu-Latn-CA
  - ja-JP-AoiNeural: Female, ja-JP
  - ja-JP-DaichiNeural: Male, ja-JP
  - ja-JP-KeitaNeural: Male, ja-JP
  - ja-JP-MasaruMultilingualNeural: Male, ja-JP
  - ja-JP-MayuNeural: Female, ja-JP
  - ja-JP-NanamiNeural: Female, ja-JP
  - ja-JP-NaokiNeural: Male, ja-JP
  - ja-JP-ShioriNeural: Female, ja-JP
  - jv-ID-DimasNeural: Male, jv-ID
  - jv-ID-SitiNeural: Female, jv-ID
  - ka-GE-EkaNeural: Female, ka-GE
  - ka-GE-GiorgiNeural: Male, ka-GE
  - kk-KZ-AigulNeural: Female, kk-KZ
  - kk-KZ-DauletNeural: Male, kk-KZ
  - km-KH-PisethNeural: Male, km-KH
  - km-KH-SreymomNeural: Female, km-KH
  - kn-IN-GaganNeural: Male, kn-IN
  - kn-IN-SapnaNeural: Female, kn-IN
  - ko-KR-BongJinNeural: Male, ko-KR
  - ko-KR-GookMinNeural: Male, ko-KR
  - ko-KR-HyunsuMultilingualNeural: Male, ko-KR
  - ko-KR-HyunsuNeural: Male, ko-KR
  - ko-KR-InJoonNeural: Male, ko-KR
  - ko-KR-JiMinNeural: Female, ko-KR
  - ko-KR-SeoHyeonNeural: Female, ko-KR
  - ko-KR-SoonBokNeural: Female, ko-KR
  - ko-KR-SunHiNeural: Female, ko-KR
  - ko-KR-YuJinNeural: Female, ko-KR
  - lo-LA-ChanthavongNeural: Male, lo-LA
  - lo-LA-KeomanyNeural: Female, lo-LA
  - lt-LT-LeonasNeural: Male, lt-LT
  - lt-LT-OnaNeural: Female, lt-LT
  - lv-LV-EveritaNeural: Female, lv-LV
  - lv-LV-NilsNeural: Male, lv-LV
  - mk-MK-AleksandarNeural: Male, mk-MK
  - mk-MK-MarijaNeural: Female, mk-MK
  - ml-IN-MidhunNeural: Male, ml-IN
  - ml-IN-SobhanaNeural: Female, ml-IN
  - mn-MN-BataaNeural: Male, mn-MN
  - mn-MN-YesuiNeural: Female, mn-MN
  - mr-IN-AarohiNeural: Female, mr-IN
  - mr-IN-ManoharNeural: Male, mr-IN
  - ms-MY-OsmanNeural: Male, ms-MY
  - ms-MY-YasminNeural: Female, ms-MY
  - mt-MT-GraceNeural: Female, mt-MT
  - mt-MT-JosephNeural: Male, mt-MT
  - my-MM-NilarNeural: Female, my-MM
  - my-MM-ThihaNeural: Male, my-MM
  - nb-NO-FinnNeural: Male, nb-NO
  - nb-NO-IselinNeural: Female, nb-NO
  - nb-NO-PernilleNeural: Female, nb-NO
  - ne-NP-HemkalaNeural: Female, ne-NP
  - ne-NP-SagarNeural: Male, ne-NP
  - nl-BE-ArnaudNeural: Male, nl-BE
  - nl-BE-DenaNeural: Female, nl-BE
  - nl-NL-ColetteNeural: Female, nl-NL
  - nl-NL-FennaNeural: Female, nl-NL
  - nl-NL-MaartenNeural: Male, nl-NL
  - or-IN-SubhasiniNeural: Female, or-IN
  - or-IN-SukantNeural: Male, or-IN
  - pa-IN-OjasNeural: Male, pa-IN
  - pa-IN-VaaniNeural: Female, pa-IN
  - pl-PL-AgnieszkaNeural: Female, pl-PL
  - pl-PL-MarekNeural: Male, pl-PL
  - pl-PL-ZofiaNeural: Female, pl-PL
  - ps-AF-GulNawazNeural: Male, ps-AF
  - ps-AF-LatifaNeural: Female, ps-AF
  - pt-BR-AntonioNeural: Male, pt-BR
  - pt-BR-BrendaNeural: Female, pt-BR
  - pt-BR-DonatoNeural: Male, pt-BR
  - pt-BR-ElzaNeural: Female, pt-BR
  - pt-BR-FabioNeural: Male, pt-BR
  - pt-BR-FranciscaNeural: Female, pt-BR
  - pt-BR-GiovannaNeural: Female, pt-BR
  - pt-BR-HumbertoNeural: Male, pt-BR
  - pt-BR-JulioNeural: Male, pt-BR
  - pt-BR-LeilaNeural: Female, pt-BR
  - pt-BR-LeticiaNeural: Female, pt-BR
  - pt-BR-MacerioMultilingualNeural: Male, pt-BR
  - pt-BR-ManuelaNeural: Female, pt-BR
  - pt-BR-NicolauNeural: Male, pt-BR
  - pt-BR-ThalitaMultilingualNeural: Female, pt-BR
  - pt-BR-ThalitaNeural: Female, pt-BR
  - pt-BR-ValerioNeural: Male, pt-BR
  - pt-BR-YaraNeural: Female, pt-BR
  - pt-PT-DuarteNeural: Male, pt-PT
  - pt-PT-FernandaNeural: Female, pt-PT
  - pt-PT-RaquelNeural: Female, pt-PT
  - ro-RO-AlinaNeural: Female, ro-RO
  - ro-RO-EmilNeural: Male, ro-RO
  - ru-RU-DariyaNeural: Female, ru-RU
  - ru-RU-DmitryNeural: Male, ru-RU
  - ru-RU-SvetlanaNeural: Female, ru-RU
  - si-LK-SameeraNeural: Male, si-LK
  - si-LK-ThiliniNeural: Female, si-LK
  - sk-SK-LukasNeural: Male, sk-SK
  - sk-SK-ViktoriaNeural: Female, sk-SK
  - sl-SI-PetraNeural: Female, sl-SI
  - sl-SI-RokNeural: Male, sl-SI
  - so-SO-MuuseNeural: Male, so-SO
  - so-SO-UbaxNeural: Female, so-SO
  - sq-AL-AnilaNeural: Female, sq-AL
  - sq-AL-IlirNeural: Male, sq-AL
  - sr-Latn-RS-NicholasNeural: Male, sr-Latn-RS
  - sr-Latn-RS-SophieNeural: Female, sr-Latn-RS
  - sr-RS-NicholasNeural: Male, sr-RS
  - sr-RS-SophieNeural: Female, sr-RS
  - su-ID-JajangNeural: Male, su-ID
  - su-ID-TutiNeural: Female, su-ID
  - sv-SE-HilleviNeural: Female, sv-SE
  - sv-SE-MattiasNeural: Male, sv-SE
  - sv-SE-SofieNeural: Female, sv-SE
  - sw-KE-RafikiNeural: Male, sw-KE
  - sw-KE-ZuriNeural: Female, sw-KE
  - sw-TZ-DaudiNeural: Male, sw-TZ
  - sw-TZ-RehemaNeural: Female, sw-TZ
  - ta-IN-PallaviNeural: Female, ta-IN
  - ta-IN-ValluvarNeural: Male, ta-IN
  - ta-LK-KumarNeural: Male, ta-LK
  - ta-LK-SaranyaNeural: Female, ta-LK
  - ta-MY-KaniNeural: Female, ta-MY
  - ta-MY-SuryaNeural: Male, ta-MY
  - ta-SG-AnbuNeural: Male, ta-SG
  - ta-SG-VenbaNeural: Female, ta-SG
  - te-IN-MohanNeural: Male, te-IN
  - te-IN-ShrutiNeural: Female, te-IN
  - th-TH-AcharaNeural: Female, th-TH
  - th-TH-NiwatNeural: Male, th-TH
  - th-TH-PremwadeeNeural: Female, th-TH
  - tr-TR-AhmetNeural: Male, tr-TR
  - tr-TR-EmelNeural: Female, tr-TR
  - uk-UA-OstapNeural: Male, uk-UA
  - uk-UA-PolinaNeural: Female, uk-UA
  - ur-IN-GulNeural: Female, ur-IN
  - ur-IN-SalmanNeural: Male, ur-IN
  - ur-PK-AsadNeural: Male, ur-PK
  - ur-PK-UzmaNeural: Female, ur-PK
  - uz-UZ-MadinaNeural: Female, uz-UZ
  - uz-UZ-SardorNeural: Male, uz-UZ
  - vi-VN-HoaiMyNeural: Female, vi-VN
  - vi-VN-NamMinhNeural: Male, vi-VN
  - wuu-CN-XiaotongNeural: Female, wuu-CN
  - wuu-CN-YunzheNeural: Male, wuu-CN
  - yue-CN-XiaoMinNeural: Female, yue-CN
  - yue-CN-YunSongNeural: Male, yue-CN
  - zh-CN-XiaochenMultilingualNeural: Female, zh-CN
  - zh-CN-XiaochenNeural: Female, zh-CN
  - zh-CN-XiaohanNeural: Female, zh-CN
  - zh-CN-XiaomengNeural: Female, zh-CN
  - zh-CN-XiaomoNeural: Female, zh-CN
  - zh-CN-XiaoqiuNeural: Female, zh-CN
  - zh-CN-XiaorouNeural: Female, zh-CN
  - zh-CN-XiaoruiNeural: Female, zh-CN
  - zh-CN-XiaoshuangNeural: Female, zh-CN
  - zh-CN-XiaoxiaoDialectsNeural: Female, zh-CN
  - zh-CN-XiaoxiaoMultilingualNeural: Female, zh-CN
  - zh-CN-XiaoxiaoNeural: Female, zh-CN
  - zh-CN-XiaoyanNeural: Female, zh-CN
  - zh-CN-XiaoyiNeural: Female, zh-CN
  - zh-CN-XiaoyouNeural: Female, zh-CN
  - zh-CN-XiaoyuMultilingualNeural: Female, zh-CN
  - zh-CN-XiaozhenNeural: Female, zh-CN
  - zh-CN-YunfanMultilingualNeural: Male, zh-CN
  - zh-CN-YunfengNeural: Male, zh-CN
  - zh-CN-YunhaoNeural: Male, zh-CN
  - zh-CN-YunjianNeural: Male, zh-CN
  - zh-CN-YunjieNeural: Male, zh-CN
  - zh-CN-YunxiNeural: Male, zh-CN
  - zh-CN-YunxiaNeural: Male, zh-CN
  - zh-CN-YunxiaoMultilingualNeural: Male, zh-CN
  - zh-CN-YunyangNeural: Male, zh-CN
  - zh-CN-YunyeNeural: Male, zh-CN
  - zh-CN-YunyiMultilingualNeural: Male, zh-CN
  - zh-CN-YunzeNeural: Male, zh-CN
  - zh-CN-guangxi-YunqiNeural: Male, zh-CN-guangxi
  - zh-CN-henan-YundengNeural: Male, zh-CN-henan
  - zh-CN-liaoning-XiaobeiNeural: Female, zh-CN-liaoning
  - zh-CN-liaoning-YunbiaoNeural: Male, zh-CN-liaoning
  - zh-CN-shaanxi-XiaoniNeural: Female, zh-CN-shaanxi
  - zh-CN-shandong-YunxiangNeural: Male, zh-CN-shandong
  - zh-CN-sichuan-YunxiNeural: Male, zh-CN-sichuan
  - zh-HK-HiuGaaiNeural: Female, zh-HK
  - zh-HK-HiuMaanNeural: Female, zh-HK
  - zh-HK-WanLungNeural: Male, zh-HK
  - zh-TW-HsiaoChenNeural: Female, zh-TW
  - zh-TW-HsiaoYuNeural: Female, zh-TW
  - zh-TW-YunJheNeural: Male, zh-TW
  - zu-ZA-ThandoNeural: Female, zu-ZA
  - zu-ZA-ThembaNeural: Male, zu-ZA
